"","date","hours","weekday","attendance"
"1",2019-01-01,"00:00-00:59","Tuesday",4
"2",2019-01-01,"01:00-01:59","Tuesday",17
"3",2019-01-01,"02:00-02:59","Tuesday",6
"4",2019-01-01,"03:00-03:59","Tuesday",10
"5",2019-01-01,"04:00-04:59","Tuesday",11
"6",2019-01-01,"05:00-05:59","Tuesday",4
"7",2019-01-01,"06:00-06:59","Tuesday",9
"8",2019-01-01,"07:00-07:59","Tuesday",7
"9",2019-01-01,"08:00-08:59","Tuesday",16
"10",2019-01-01,"09:00-09:59","Tuesday",14
"11",2019-01-01,"10:00-10:59","Tuesday",40
"12",2019-01-01,"11:00-11:59","Tuesday",39
"13",2019-01-01,"12:00-12:59","Tuesday",41
"14",2019-01-01,"13:00-13:59","Tuesday",68
"15",2019-01-01,"14:00-14:59","Tuesday",63
"16",2019-01-01,"15:00-15:59","Tuesday",69
"17",2019-01-01,"16:00-16:59","Tuesday",74
"18",2019-01-01,"17:00-17:59","Tuesday",66
"19",2019-01-01,"18:00-18:59","Tuesday",54
"20",2019-01-01,"19:00-19:59","Tuesday",55
"21",2019-01-01,"20:00-20:59","Tuesday",42
"22",2019-01-01,"21:00-21:59","Tuesday",23
"23",2019-01-01,"22:00-22:59","Tuesday",38
"24",2019-01-01,"23:00-23:59","Tuesday",17
"25",2019-01-02,"00:00-00:59","Wednesday",14
"26",2019-01-02,"01:00-01:59","Wednesday",8
"27",2019-01-02,"02:00-02:59","Wednesday",8
"28",2019-01-02,"03:00-03:59","Wednesday",4
"29",2019-01-02,"04:00-04:59","Wednesday",5
"30",2019-01-02,"05:00-05:59","Wednesday",NA
"31",2019-01-02,"06:00-06:59","Wednesday",8
"32",2019-01-02,"07:00-07:59","Wednesday",13
"33",2019-01-02,"08:00-08:59","Wednesday",4
"34",2019-01-02,"09:00-09:59","Wednesday",15
"35",2019-01-02,"10:00-10:59","Wednesday",22
"36",2019-01-02,"11:00-11:59","Wednesday",25
"37",2019-01-02,"12:00-12:59","Wednesday",26
"38",2019-01-02,"13:00-13:59","Wednesday",23
"39",2019-01-02,"14:00-14:59","Wednesday",25
"40",2019-01-02,"15:00-15:59","Wednesday",27
"41",2019-01-02,"16:00-16:59","Wednesday",24
"42",2019-01-02,"17:00-17:59","Wednesday",32
"43",2019-01-02,"18:00-18:59","Wednesday",40
"44",2019-01-02,"19:00-19:59","Wednesday",42
"45",2019-01-02,"20:00-20:59","Wednesday",33
"46",2019-01-02,"21:00-21:59","Wednesday",42
"47",2019-01-02,"22:00-22:59","Wednesday",25
"48",2019-01-02,"23:00-23:59","Wednesday",15
"49",2019-01-03,"00:00-00:59","Thursday",10
"50",2019-01-03,"01:00-01:59","Thursday",11
"51",2019-01-03,"02:00-02:59","Thursday",4
"52",2019-01-03,"03:00-03:59","Thursday",5
"53",2019-01-03,"04:00-04:59","Thursday",5
"54",2019-01-03,"05:00-05:59","Thursday",NA
"55",2019-01-03,"06:00-06:59","Thursday",4
"56",2019-01-03,"07:00-07:59","Thursday",4
"57",2019-01-03,"08:00-08:59","Thursday",3
"58",2019-01-03,"09:00-09:59","Thursday",15
"59",2019-01-03,"10:00-10:59","Thursday",25
"60",2019-01-03,"11:00-11:59","Thursday",22
"61",2019-01-03,"12:00-12:59","Thursday",27
"62",2019-01-03,"13:00-13:59","Thursday",22
"63",2019-01-03,"14:00-14:59","Thursday",16
"64",2019-01-03,"15:00-15:59","Thursday",26
"65",2019-01-03,"16:00-16:59","Thursday",25
"66",2019-01-03,"17:00-17:59","Thursday",26
"67",2019-01-03,"18:00-18:59","Thursday",20
"68",2019-01-03,"19:00-19:59","Thursday",32
"69",2019-01-03,"20:00-20:59","Thursday",37
"70",2019-01-03,"21:00-21:59","Thursday",18
"71",2019-01-03,"22:00-22:59","Thursday",17
"72",2019-01-03,"23:00-23:59","Thursday",9
"73",2019-01-04,"00:00-00:59","Friday",10
"74",2019-01-04,"01:00-01:59","Friday",1
"75",2019-01-04,"02:00-02:59","Friday",5
"76",2019-01-04,"03:00-03:59","Friday",4
"77",2019-01-04,"04:00-04:59","Friday",7
"78",2019-01-04,"05:00-05:59","Friday",4
"79",2019-01-04,"06:00-06:59","Friday",3
"80",2019-01-04,"07:00-07:59","Friday",10
"81",2019-01-04,"08:00-08:59","Friday",9
"82",2019-01-04,"09:00-09:59","Friday",17
"83",2019-01-04,"10:00-10:59","Friday",13
"84",2019-01-04,"11:00-11:59","Friday",12
"85",2019-01-04,"12:00-12:59","Friday",12
"86",2019-01-04,"13:00-13:59","Friday",20
"87",2019-01-04,"14:00-14:59","Friday",24
"88",2019-01-04,"15:00-15:59","Friday",28
"89",2019-01-04,"16:00-16:59","Friday",32
"90",2019-01-04,"17:00-17:59","Friday",27
"91",2019-01-04,"18:00-18:59","Friday",24
"92",2019-01-04,"19:00-19:59","Friday",35
"93",2019-01-04,"20:00-20:59","Friday",27
"94",2019-01-04,"21:00-21:59","Friday",25
"95",2019-01-04,"22:00-22:59","Friday",24
"96",2019-01-04,"23:00-23:59","Friday",13
"97",2019-01-05,"00:00-00:59","Saturday",12
"98",2019-01-05,"01:00-01:59","Saturday",6
"99",2019-01-05,"02:00-02:59","Saturday",9
"100",2019-01-05,"03:00-03:59","Saturday",8
"101",2019-01-05,"04:00-04:59","Saturday",5
"102",2019-01-05,"05:00-05:59","Saturday",3
"103",2019-01-05,"06:00-06:59","Saturday",4
"104",2019-01-05,"07:00-07:59","Saturday",8
"105",2019-01-05,"08:00-08:59","Saturday",4
"106",2019-01-05,"09:00-09:59","Saturday",6
"107",2019-01-05,"10:00-10:59","Saturday",12
"108",2019-01-05,"11:00-11:59","Saturday",16
"109",2019-01-05,"12:00-12:59","Saturday",16
"110",2019-01-05,"13:00-13:59","Saturday",26
"111",2019-01-05,"14:00-14:59","Saturday",29
"112",2019-01-05,"15:00-15:59","Saturday",28
"113",2019-01-05,"16:00-16:59","Saturday",22
"114",2019-01-05,"17:00-17:59","Saturday",35
"115",2019-01-05,"18:00-18:59","Saturday",52
"116",2019-01-05,"19:00-19:59","Saturday",48
"117",2019-01-05,"20:00-20:59","Saturday",35
"118",2019-01-05,"21:00-21:59","Saturday",49
"119",2019-01-05,"22:00-22:59","Saturday",40
"120",2019-01-05,"23:00-23:59","Saturday",19
"121",2019-01-06,"00:00-00:59","Sunday",18
"122",2019-01-06,"01:00-01:59","Sunday",11
"123",2019-01-06,"02:00-02:59","Sunday",6
"124",2019-01-06,"03:00-03:59","Sunday",3
"125",2019-01-06,"04:00-04:59","Sunday",7
"126",2019-01-06,"05:00-05:59","Sunday",7
"127",2019-01-06,"06:00-06:59","Sunday",6
"128",2019-01-06,"07:00-07:59","Sunday",8
"129",2019-01-06,"08:00-08:59","Sunday",12
"130",2019-01-06,"09:00-09:59","Sunday",21
"131",2019-01-06,"10:00-10:59","Sunday",38
"132",2019-01-06,"11:00-11:59","Sunday",54
"133",2019-01-06,"12:00-12:59","Sunday",39
"134",2019-01-06,"13:00-13:59","Sunday",69
"135",2019-01-06,"14:00-14:59","Sunday",76
"136",2019-01-06,"15:00-15:59","Sunday",78
"137",2019-01-06,"16:00-16:59","Sunday",71
"138",2019-01-06,"17:00-17:59","Sunday",76
"139",2019-01-06,"18:00-18:59","Sunday",54
"140",2019-01-06,"19:00-19:59","Sunday",44
"141",2019-01-06,"20:00-20:59","Sunday",43
"142",2019-01-06,"21:00-21:59","Sunday",26
"143",2019-01-06,"22:00-22:59","Sunday",15
"144",2019-01-06,"23:00-23:59","Sunday",8
"145",2019-01-07,"00:00-00:59","Monday",12
"146",2019-01-07,"01:00-01:59","Monday",5
"147",2019-01-07,"02:00-02:59","Monday",5
"148",2019-01-07,"03:00-03:59","Monday",NA
"149",2019-01-07,"04:00-04:59","Monday",NA
"150",2019-01-07,"05:00-05:59","Monday",5
"151",2019-01-07,"06:00-06:59","Monday",6
"152",2019-01-07,"07:00-07:59","Monday",7
"153",2019-01-07,"08:00-08:59","Monday",3
"154",2019-01-07,"09:00-09:59","Monday",12
"155",2019-01-07,"10:00-10:59","Monday",16
"156",2019-01-07,"11:00-11:59","Monday",25
"157",2019-01-07,"12:00-12:59","Monday",22
"158",2019-01-07,"13:00-13:59","Monday",27
"159",2019-01-07,"14:00-14:59","Monday",12
"160",2019-01-07,"15:00-15:59","Monday",29
"161",2019-01-07,"16:00-16:59","Monday",29
"162",2019-01-07,"17:00-17:59","Monday",32
"163",2019-01-07,"18:00-18:59","Monday",29
"164",2019-01-07,"19:00-19:59","Monday",37
"165",2019-01-07,"20:00-20:59","Monday",38
"166",2019-01-07,"21:00-21:59","Monday",33
"167",2019-01-07,"22:00-22:59","Monday",26
"168",2019-01-07,"23:00-23:59","Monday",17
"169",2019-01-08,"00:00-00:59","Tuesday",13
"170",2019-01-08,"01:00-01:59","Tuesday",8
"171",2019-01-08,"02:00-02:59","Tuesday",7
"172",2019-01-08,"03:00-03:59","Tuesday",2
"173",2019-01-08,"04:00-04:59","Tuesday",NA
"174",2019-01-08,"05:00-05:59","Tuesday",5
"175",2019-01-08,"06:00-06:59","Tuesday",6
"176",2019-01-08,"07:00-07:59","Tuesday",12
"177",2019-01-08,"08:00-08:59","Tuesday",10
"178",2019-01-08,"09:00-09:59","Tuesday",20
"179",2019-01-08,"10:00-10:59","Tuesday",25
"180",2019-01-08,"11:00-11:59","Tuesday",22
"181",2019-01-08,"12:00-12:59","Tuesday",23
"182",2019-01-08,"13:00-13:59","Tuesday",21
"183",2019-01-08,"14:00-14:59","Tuesday",20
"184",2019-01-08,"15:00-15:59","Tuesday",19
"185",2019-01-08,"16:00-16:59","Tuesday",30
"186",2019-01-08,"17:00-17:59","Tuesday",27
"187",2019-01-08,"18:00-18:59","Tuesday",20
"188",2019-01-08,"19:00-19:59","Tuesday",39
"189",2019-01-08,"20:00-20:59","Tuesday",37
"190",2019-01-08,"21:00-21:59","Tuesday",24
"191",2019-01-08,"22:00-22:59","Tuesday",20
"192",2019-01-08,"23:00-23:59","Tuesday",21
"193",2019-01-09,"00:00-00:59","Wednesday",18
"194",2019-01-09,"01:00-01:59","Wednesday",6
"195",2019-01-09,"02:00-02:59","Wednesday",6
"196",2019-01-09,"03:00-03:59","Wednesday",4
"197",2019-01-09,"04:00-04:59","Wednesday",NA
"198",2019-01-09,"05:00-05:59","Wednesday",6
"199",2019-01-09,"06:00-06:59","Wednesday",NA
"200",2019-01-09,"07:00-07:59","Wednesday",9
"201",2019-01-09,"08:00-08:59","Wednesday",9
"202",2019-01-09,"09:00-09:59","Wednesday",20
"203",2019-01-09,"10:00-10:59","Wednesday",17
"204",2019-01-09,"11:00-11:59","Wednesday",21
"205",2019-01-09,"12:00-12:59","Wednesday",18
"206",2019-01-09,"13:00-13:59","Wednesday",18
"207",2019-01-09,"14:00-14:59","Wednesday",20
"208",2019-01-09,"15:00-15:59","Wednesday",15
"209",2019-01-09,"16:00-16:59","Wednesday",24
"210",2019-01-09,"17:00-17:59","Wednesday",17
"211",2019-01-09,"18:00-18:59","Wednesday",35
"212",2019-01-09,"19:00-19:59","Wednesday",27
"213",2019-01-09,"20:00-20:59","Wednesday",28
"214",2019-01-09,"21:00-21:59","Wednesday",20
"215",2019-01-09,"22:00-22:59","Wednesday",11
"216",2019-01-09,"23:00-23:59","Wednesday",10
"217",2019-01-10,"00:00-00:59","Thursday",5
"218",2019-01-10,"01:00-01:59","Thursday",5
"219",2019-01-10,"02:00-02:59","Thursday",11
"220",2019-01-10,"03:00-03:59","Thursday",7
"221",2019-01-10,"04:00-04:59","Thursday",4
"222",2019-01-10,"05:00-05:59","Thursday",6
"223",2019-01-10,"06:00-06:59","Thursday",5
"224",2019-01-10,"07:00-07:59","Thursday",9
"225",2019-01-10,"08:00-08:59","Thursday",19
"226",2019-01-10,"09:00-09:59","Thursday",13
"227",2019-01-10,"10:00-10:59","Thursday",17
"228",2019-01-10,"11:00-11:59","Thursday",23
"229",2019-01-10,"12:00-12:59","Thursday",26
"230",2019-01-10,"13:00-13:59","Thursday",25
"231",2019-01-10,"14:00-14:59","Thursday",14
"232",2019-01-10,"15:00-15:59","Thursday",24
"233",2019-01-10,"16:00-16:59","Thursday",22
"234",2019-01-10,"17:00-17:59","Thursday",29
"235",2019-01-10,"18:00-18:59","Thursday",22
"236",2019-01-10,"19:00-19:59","Thursday",31
"237",2019-01-10,"20:00-20:59","Thursday",35
"238",2019-01-10,"21:00-21:59","Thursday",23
"239",2019-01-10,"22:00-22:59","Thursday",17
"240",2019-01-10,"23:00-23:59","Thursday",20
"241",2019-01-11,"00:00-00:59","Friday",6
"242",2019-01-11,"01:00-01:59","Friday",3
"243",2019-01-11,"02:00-02:59","Friday",8
"244",2019-01-11,"03:00-03:59","Friday",4
"245",2019-01-11,"04:00-04:59","Friday",2
"246",2019-01-11,"05:00-05:59","Friday",4
"247",2019-01-11,"06:00-06:59","Friday",3
"248",2019-01-11,"07:00-07:59","Friday",13
"249",2019-01-11,"08:00-08:59","Friday",9
"250",2019-01-11,"09:00-09:59","Friday",11
"251",2019-01-11,"10:00-10:59","Friday",23
"252",2019-01-11,"11:00-11:59","Friday",20
"253",2019-01-11,"12:00-12:59","Friday",28
"254",2019-01-11,"13:00-13:59","Friday",13
"255",2019-01-11,"14:00-14:59","Friday",19
"256",2019-01-11,"15:00-15:59","Friday",27
"257",2019-01-11,"16:00-16:59","Friday",17
"258",2019-01-11,"17:00-17:59","Friday",27
"259",2019-01-11,"18:00-18:59","Friday",36
"260",2019-01-11,"19:00-19:59","Friday",26
"261",2019-01-11,"20:00-20:59","Friday",25
"262",2019-01-11,"21:00-21:59","Friday",30
"263",2019-01-11,"22:00-22:59","Friday",16
"264",2019-01-11,"23:00-23:59","Friday",16
"265",2019-01-12,"00:00-00:59","Saturday",14
"266",2019-01-12,"01:00-01:59","Saturday",10
"267",2019-01-12,"02:00-02:59","Saturday",3
"268",2019-01-12,"03:00-03:59","Saturday",2
"269",2019-01-12,"04:00-04:59","Saturday",2
"270",2019-01-12,"05:00-05:59","Saturday",4
"271",2019-01-12,"06:00-06:59","Saturday",NA
"272",2019-01-12,"07:00-07:59","Saturday",1
"273",2019-01-12,"08:00-08:59","Saturday",5
"274",2019-01-12,"09:00-09:59","Saturday",8
"275",2019-01-12,"10:00-10:59","Saturday",14
"276",2019-01-12,"11:00-11:59","Saturday",12
"277",2019-01-12,"12:00-12:59","Saturday",21
"278",2019-01-12,"13:00-13:59","Saturday",17
"279",2019-01-12,"14:00-14:59","Saturday",24
"280",2019-01-12,"15:00-15:59","Saturday",16
"281",2019-01-12,"16:00-16:59","Saturday",25
"282",2019-01-12,"17:00-17:59","Saturday",40
"283",2019-01-12,"18:00-18:59","Saturday",41
"284",2019-01-12,"19:00-19:59","Saturday",28
"285",2019-01-12,"20:00-20:59","Saturday",41
"286",2019-01-12,"21:00-21:59","Saturday",40
"287",2019-01-12,"22:00-22:59","Saturday",27
"288",2019-01-12,"23:00-23:59","Saturday",15
"289",2019-01-13,"00:00-00:59","Sunday",15
"290",2019-01-13,"01:00-01:59","Sunday",10
"291",2019-01-13,"02:00-02:59","Sunday",8
"292",2019-01-13,"03:00-03:59","Sunday",8
"293",2019-01-13,"04:00-04:59","Sunday",2
"294",2019-01-13,"05:00-05:59","Sunday",8
"295",2019-01-13,"06:00-06:59","Sunday",4
"296",2019-01-13,"07:00-07:59","Sunday",7
"297",2019-01-13,"08:00-08:59","Sunday",18
"298",2019-01-13,"09:00-09:59","Sunday",31
"299",2019-01-13,"10:00-10:59","Sunday",40
"300",2019-01-13,"11:00-11:59","Sunday",55
"301",2019-01-13,"12:00-12:59","Sunday",53
"302",2019-01-13,"13:00-13:59","Sunday",45
"303",2019-01-13,"14:00-14:59","Sunday",57
"304",2019-01-13,"15:00-15:59","Sunday",62
"305",2019-01-13,"16:00-16:59","Sunday",65
"306",2019-01-13,"17:00-17:59","Sunday",58
"307",2019-01-13,"18:00-18:59","Sunday",64
"308",2019-01-13,"19:00-19:59","Sunday",34
"309",2019-01-13,"20:00-20:59","Sunday",39
"310",2019-01-13,"21:00-21:59","Sunday",36
"311",2019-01-13,"22:00-22:59","Sunday",25
"312",2019-01-13,"23:00-23:59","Sunday",13
"313",2019-01-14,"00:00-00:59","Monday",14
"314",2019-01-14,"01:00-01:59","Monday",3
"315",2019-01-14,"02:00-02:59","Monday",4
"316",2019-01-14,"03:00-03:59","Monday",4
"317",2019-01-14,"04:00-04:59","Monday",5
"318",2019-01-14,"05:00-05:59","Monday",4
"319",2019-01-14,"06:00-06:59","Monday",NA
"320",2019-01-14,"07:00-07:59","Monday",14
"321",2019-01-14,"08:00-08:59","Monday",9
"322",2019-01-14,"09:00-09:59","Monday",16
"323",2019-01-14,"10:00-10:59","Monday",17
"324",2019-01-14,"11:00-11:59","Monday",24
"325",2019-01-14,"12:00-12:59","Monday",18
"326",2019-01-14,"13:00-13:59","Monday",26
"327",2019-01-14,"14:00-14:59","Monday",28
"328",2019-01-14,"15:00-15:59","Monday",26
"329",2019-01-14,"16:00-16:59","Monday",28
"330",2019-01-14,"17:00-17:59","Monday",32
"331",2019-01-14,"18:00-18:59","Monday",28
"332",2019-01-14,"19:00-19:59","Monday",44
"333",2019-01-14,"20:00-20:59","Monday",32
"334",2019-01-14,"21:00-21:59","Monday",21
"335",2019-01-14,"22:00-22:59","Monday",16
"336",2019-01-14,"23:00-23:59","Monday",14
"337",2019-01-15,"00:00-00:59","Tuesday",7
"338",2019-01-15,"01:00-01:59","Tuesday",6
"339",2019-01-15,"02:00-02:59","Tuesday",6
"340",2019-01-15,"03:00-03:59","Tuesday",13
"341",2019-01-15,"04:00-04:59","Tuesday",5
"342",2019-01-15,"05:00-05:59","Tuesday",NA
"343",2019-01-15,"06:00-06:59","Tuesday",4
"344",2019-01-15,"07:00-07:59","Tuesday",12
"345",2019-01-15,"08:00-08:59","Tuesday",7
"346",2019-01-15,"09:00-09:59","Tuesday",11
"347",2019-01-15,"10:00-10:59","Tuesday",20
"348",2019-01-15,"11:00-11:59","Tuesday",21
"349",2019-01-15,"12:00-12:59","Tuesday",21
"350",2019-01-15,"13:00-13:59","Tuesday",19
"351",2019-01-15,"14:00-14:59","Tuesday",28
"352",2019-01-15,"15:00-15:59","Tuesday",40
"353",2019-01-15,"16:00-16:59","Tuesday",29
"354",2019-01-15,"17:00-17:59","Tuesday",22
"355",2019-01-15,"18:00-18:59","Tuesday",26
"356",2019-01-15,"19:00-19:59","Tuesday",48
"357",2019-01-15,"20:00-20:59","Tuesday",31
"358",2019-01-15,"21:00-21:59","Tuesday",26
"359",2019-01-15,"22:00-22:59","Tuesday",21
"360",2019-01-15,"23:00-23:59","Tuesday",13
"361",2019-01-16,"00:00-00:59","Wednesday",13
"362",2019-01-16,"01:00-01:59","Wednesday",12
"363",2019-01-16,"02:00-02:59","Wednesday",9
"364",2019-01-16,"03:00-03:59","Wednesday",2
"365",2019-01-16,"04:00-04:59","Wednesday",5
"366",2019-01-16,"05:00-05:59","Wednesday",7
"367",2019-01-16,"06:00-06:59","Wednesday",3
"368",2019-01-16,"07:00-07:59","Wednesday",6
"369",2019-01-16,"08:00-08:59","Wednesday",10
